t,aggregate_A_t
0,0.5033333333333333
1,0.52
2,0.49366666666666664
3,0.48833333333333334
4,0.491
5,0.48633333333333334
6,0.489
7,0.4846666666666667
8,0.49766666666666665
9,0.4826666666666667
10,0.4846666666666667
11,0.483
12,0.49433333333333335
13,0.504
14,0.5113333333333333
15,0.5083333333333333
16,0.5176666666666667
17,0.49866666666666665
18,0.504
19,0.511
20,0.5113333333333333
21,0.5053333333333333
22,0.509
23,0.5083333333333333
24,0.49566666666666664
25,0.49966666666666665
26,0.488
27,0.5013333333333333
28,0.49733333333333335
29,0.4846666666666667
30,0.4723333333333333
31,0.49166666666666664
32,0.48033333333333333
33,0.493
34,0.49633333333333335
35,0.49433333333333335
36,0.509
37,0.49833333333333335
38,0.49733333333333335
39,0.486
40,0.49666666666666665
41,0.499
42,0.5053333333333333
43,0.517
44,0.514
45,0.507
46,0.511
47,0.503
48,0.49466666666666664
49,0.47
50,0.486
51,0.476
52,0.49566666666666664
53,0.5043333333333333
54,0.5093333333333333
55,0.5166666666666667
56,0.515
57,0.5086666666666667
58,0.5
59,0.508
60,0.503
61,0.49533333333333335
62,0.478
63,0.473
64,0.48
65,0.481
66,0.48433333333333334
67,0.48233333333333334
68,0.483
69,0.48433333333333334
70,0.49566666666666664
71,0.504
72,0.5093333333333333
73,0.5126666666666667
74,0.49133333333333334
75,0.49933333333333335
76,0.49333333333333335
77,0.482
78,0.47733333333333333
79,0.485
80,0.484
81,0.49866666666666665
82,0.473
83,0.49466666666666664
84,0.5066666666666667
85,0.504
86,0.495
87,0.502
88,0.5113333333333333
89,0.5073333333333333
90,0.5146666666666667
91,0.489
92,0.5036666666666667
93,0.4876666666666667
94,0.49666666666666665
95,0.5053333333333333
96,0.5026666666666667
97,0.49766666666666665
98,0.49433333333333335
99,0.513
100,0.506
101,0.5093333333333333
102,0.5016666666666667
103,0.5096666666666667
104,0.5153333333333333
105,0.5103333333333333
106,0.502
107,0.514
108,0.5043333333333333
109,0.49766666666666665
110,0.513
111,0.49533333333333335
112,0.5026666666666667
113,0.5046666666666667
114,0.49833333333333335
115,0.5166666666666667
116,0.522
117,0.506
118,0.5096666666666667
119,0.5043333333333333
120,0.501
121,0.508
122,0.504
123,0.5103333333333333
124,0.5016666666666667
125,0.493
126,0.5013333333333333
127,0.49766666666666665
128,0.483
129,0.48933333333333334
130,0.49033333333333334
131,0.502
132,0.502
133,0.5093333333333333
134,0.5246666666666666
135,0.5073333333333333
136,0.48633333333333334
137,0.4836666666666667
138,0.49366666666666664
139,0.488
140,0.49133333333333334
141,0.5066666666666667
142,0.498
143,0.4826666666666667
144,0.4876666666666667
145,0.5056666666666667
146,0.493
147,0.4713333333333333
148,0.48133333333333334
149,0.5013333333333333
150,0.504
151,0.5096666666666667
152,0.5056666666666667
153,0.49566666666666664
154,0.4816666666666667
155,0.487
156,0.484
157,0.48966666666666664
158,0.5003333333333333
159,0.505
160,0.5183333333333333
161,0.507
162,0.49933333333333335
163,0.49
164,0.486
165,0.5146666666666667
166,0.5216666666666666
167,0.5066666666666667
168,0.505
169,0.5113333333333333
170,0.509
171,0.495
172,0.5016666666666667
173,0.515
174,0.49833333333333335
175,0.4886666666666667
176,0.49233333333333335
177,0.49766666666666665
178,0.512
179,0.5186666666666667
180,0.505
181,0.5123333333333333
182,0.5046666666666667
183,0.49866666666666665
184,0.49866666666666665
185,0.5096666666666667
186,0.501
187,0.5146666666666667
188,0.5136666666666667
189,0.511
190,0.5036666666666667
191,0.49766666666666665
192,0.49833333333333335
193,0.5023333333333333
194,0.49533333333333335
195,0.5156666666666667
196,0.505
197,0.504
198,0.492
199,0.47833333333333333
200,0.4836666666666667
201,0.491
202,0.479
203,0.496
204,0.49866666666666665
205,0.485
206,0.49066666666666664
207,0.49766666666666665
208,0.48833333333333334
209,0.4836666666666667
210,0.49066666666666664
211,0.49533333333333335
212,0.49433333333333335
213,0.492
214,0.504
215,0.5143333333333333
216,0.515
217,0.504
218,0.5083333333333333
219,0.5153333333333333
220,0.5136666666666667
221,0.5123333333333333
222,0.497
223,0.5123333333333333
224,0.5006666666666667
225,0.498
226,0.5086666666666667
227,0.5046666666666667
228,0.5026666666666667
229,0.49633333333333335
230,0.508
231,0.5123333333333333
232,0.528
233,0.5093333333333333
234,0.5086666666666667
235,0.501
236,0.49833333333333335
237,0.49433333333333335
238,0.48433333333333334
239,0.47833333333333333
240,0.4746666666666667
241,0.471
242,0.49533333333333335
243,0.49366666666666664
244,0.491
245,0.5066666666666667
246,0.5063333333333333
247,0.5146666666666667
248,0.5166666666666667
249,0.5123333333333333
250,0.5126666666666667
251,0.51
252,0.5133333333333333
253,0.5063333333333333
254,0.51
255,0.514
256,0.5133333333333333
257,0.49566666666666664
258,0.5083333333333333
259,0.501
260,0.495
261,0.501
262,0.5033333333333333
263,0.504
264,0.5016666666666667
265,0.49733333333333335
266,0.49133333333333334
267,0.49366666666666664
268,0.501
269,0.499
270,0.497
271,0.49466666666666664
272,0.511
273,0.5113333333333333
274,0.5093333333333333
275,0.506
276,0.5196666666666667
277,0.515
278,0.507
279,0.49966666666666665
280,0.51
281,0.509
282,0.5116666666666667
283,0.5046666666666667
284,0.5123333333333333
285,0.507
286,0.5066666666666667
287,0.505
288,0.49966666666666665
289,0.505
290,0.507
291,0.5023333333333333
292,0.5026666666666667
293,0.49533333333333335
294,0.49433333333333335
295,0.49933333333333335
296,0.49033333333333334
297,0.48533333333333334
298,0.49333333333333335
299,0.5053333333333333
300,0.495
301,0.5073333333333333
302,0.507
303,0.49166666666666664
304,0.49166666666666664
305,0.489
306,0.492
307,0.49366666666666664
308,0.49966666666666665
309,0.5153333333333333
310,0.5033333333333333
311,0.5113333333333333
312,0.5116666666666667
313,0.5076666666666667
314,0.49933333333333335
315,0.503
316,0.5043333333333333
317,0.49333333333333335
318,0.48966666666666664
319,0.499
320,0.49466666666666664
321,0.477
322,0.48533333333333334
323,0.49233333333333335
324,0.49866666666666665
325,0.5073333333333333
326,0.4866666666666667
327,0.486
328,0.488
329,0.49566666666666664
330,0.493
331,0.476
332,0.49
333,0.492
334,0.5
335,0.509
336,0.505
337,0.5096666666666667
338,0.5153333333333333
339,0.5156666666666667
340,0.5033333333333333
341,0.5083333333333333
342,0.495
343,0.49333333333333335
344,0.5
345,0.49333333333333335
346,0.479
347,0.483
348,0.47733333333333333
349,0.4826666666666667
350,0.4836666666666667
351,0.49933333333333335
352,0.476
353,0.48833333333333334
354,0.48333333333333334
355,0.48733333333333334
356,0.49233333333333335
357,0.48966666666666664
358,0.49633333333333335
359,0.4866666666666667
360,0.49133333333333334
361,0.47333333333333333
362,0.48633333333333334
363,0.49266666666666664
364,0.49566666666666664
365,0.506
366,0.5046666666666667
367,0.5096666666666667
368,0.513
369,0.507
