t,q_t,p_t
0,0.99995,-0.00999975
1,0.999800005,-0.019998500024999998
2,0.9995500299995,-0.029995250199997495
3,0.9992000999960001,-0.039989000849975
4,0.9987502499825006,-0.049978752599867504
5,0.9982005249440028,-0.05996350647450002
6,0.9975509798530106,-0.06994226399848509
7,0.9968016796640331,-0.0799140272960703
8,0.9959526993070892,-0.08987779919092592
9,0.9950041236802146,-0.09983258330586245
10,0.993956047640972,-0.10977738416246839
11,0.9928085759969653,-0.11971120728065808
12,0.9915618234953588,-0.1296330592781197
13,0.9902159148114028,-0.1395419479696535
14,0.9887709845359657,-0.14943688246639034
15,0.987227177162075,-0.15931687327488053
16,0.9855846470704681,-0.16918093239604326
17,0.9838435585141542,-0.17902807342396637
18,0.9820040856019888,-0.18885731164454708
19,0.9800664122812632,-0.19866766413396333
20,0.9780307323193095,-0.20845814985696617
21,0.9758972492841238,-0.21822778976498333
22,0.9736661765240098,-0.227975606894024
23,0.9713377371462434,-0.23770062646237525
24,0.9689121639947623,-0.24740187596808028
25,0.9663896996268818,-0.2570783852861885
26,0.9637705962890386,-0.26672918676576807
27,0.9610551158915664,-0.27635331532667107
28,0.9582435299825052,-0.2859498085560414
29,0.9553361197204456,-0.29551770680455614
30,0.9523331758464141,-0.3050560532823904
31,0.9492349986547979,-0.31456389415489644
32,0.9460418979633162,-0.324040278637987
33,0.9427541930820381,-0.3334842590932138
34,0.9393722127814519,-0.34289489112253124
35,0.9358962952595875,-0.35227123366273644
36,0.9323267881081971,-0.36161234907957535
37,0.928664048277996,-0.3709173032615063
38,0.9249084420429671,-0.3801851657131111
39,0.9210603449637338,-0.3894150096481446
40,0.9171201418500041,-0.3986059120822133
41,0.9130882267220894,-0.4077569539250738
42,0.9089650027715026,-0.41686722007254173
43,0.9047508823206386,-0.4259357994980024
44,0.9004462867815426,-0.4349617853435133
45,0.8960516466137683,-0.4439442750104899
46,0.8915674012813327,-0.4528823702499654
47,0.886993999208769,-0.46177517725241596
48,0.8823318977362844,-0.47062180673714127
49,0.8775815630740261,-0.47942137404119284
50,0.8727434702554605,-0.4881729992078403
51,0.8678181030898693,-0.49687580707456697
52,0.8628059541139691,-0.5055289273605862
53,0.8577075245426575,-0.5141314947538693
